"x"
"TCGA-DJ-A3V9-01"
"TCGA-KS-A41I-01"
"TCGA-DJ-A2Q5-01"
"TCGA-BJ-A45F-01"
"TCGA-DE-A4MC-01"
"TCGA-EL-A3GZ-01"
"TCGA-BJ-A28S-01"
"TCGA-BJ-A3PR-01"
"TCGA-DO-A2HM-01"
"TCGA-EM-A22M-01"
"TCGA-FY-A40L-01"
"TCGA-EM-A3FJ-01"
"TCGA-FE-A239-01"
"TCGA-ET-A25R-01"
"TCGA-ET-A3BV-01"
