"x"
"TCGA-DJ-A2PR-01"
"TCGA-KS-A4IB-01"
"TCGA-EL-A3N2-01"
"TCGA-BJ-A0ZJ-01"
"TCGA-DE-A7U5-01"
"TCGA-E8-A44M-01"
"TCGA-DJ-A2QA-01"
"TCGA-CE-A27D-01"
"TCGA-KS-A41L-01"
"TCGA-EM-A2OX-01"
"TCGA-EM-A1YC-01"
"TCGA-E3-A3E5-01"
"TCGA-EM-A22Q-01"
"TCGA-ET-A40S-01"
"TCGA-EM-A3O3-01"
