"x"
"TCGA-D1-A1O7-01"
"TCGA-AP-A0LL-01"
"TCGA-AJ-A3NE-01"
"TCGA-DF-A2KS-01"
"TCGA-B5-A0JS-01"
"TCGA-B5-A1MZ-01"
"TCGA-AX-A2HH-01"
"TCGA-AX-A3FZ-01"
"TCGA-A5-A0G9-01"
"TCGA-AP-A1DK-01"
"TCGA-BS-A0U8-01"
"TCGA-EC-A1QX-01"
"TCGA-BG-A0M3-01"
"TCGA-BG-A0M4-01"
"TCGA-E6-A2P9-01"
"TCGA-B5-A11L-01"
"TCGA-AX-A1CF-01"
"TCGA-E6-A1LX-01"
"TCGA-B5-A11F-01"
"TCGA-AW-A1PO-01"
"TCGA-D1-A3DG-01"
"TCGA-B5-A0JT-01"
"TCGA-D1-A17D-01"
"TCGA-B5-A11J-01"
"TCGA-B5-A1MU-01"
"TCGA-AJ-A3BF-01"
"TCGA-FI-A2F8-01"
"TCGA-AJ-A3TW-01"
"TCGA-EO-A1Y5-01"
